Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8598,0.6333,0.8778,0.6506,0.6599,0.8799,0.4701,0.6215,0.7556
BalanceCascadeClassifier,0.8319,0.4667,0.8623,0.6081,0.6265,0.7706,0.3519,0.5972,0.6645
UnderBaggingClassifier,0.7991,0.7,0.8073,0.6205,0.7514,0.8485,0.357,0.6076,0.7537
EasyEnsembleClassifier,0.7894,0.65,0.8021,0.604,0.7188,0.858,0.4107,0.5983,0.726
RUSBoostClassifier,0.8694,0.3667,0.9137,0.6215,0.5691,0.7853,0.2929,0.6128,0.6402
BalancedRandomForestClassifier,0.7008,0.95,0.6806,0.5715,0.8003,0.852,0.3188,0.6011,0.8153
AdaCostClassifier,0.8549,0.4667,0.8879,0.6048,0.5645,0.7593,0.3819,0.5853,0.6773
AdaUBoostClassifier,0.9252,0.2333,0.9846,0.6368,0.4269,0.8318,0.4548,0.7186,0.609
AsymBoostClassifier,0.9159,0.2333,0.9744,0.6246,0.4243,0.8125,0.4621,0.6849,0.6038
CatBoostClassifier,0.9206,0.0,1.0,0.4793,0.0,0.7412,0.2735,0.4603,0.5
SMOTEBoostClassifier,0.9439,0.5167,0.9795,0.7444,0.6204,0.841,0.586,0.7974,0.7481
OverBaggingClassifier,0.9205,0.1167,0.9897,0.5524,0.2125,0.823,0.3925,0.5978,0.5532
OverBoostClassifier,0.9112,0.2333,0.9692,0.6178,0.4227,0.8108,0.4456,0.6765,0.6013
SMOTEBaggingClassifier,0.9205,0.1167,0.9897,0.5524,0.2125,0.8662,0.4324,0.5978,0.5532
KmeansSMOTEBoostClassifier,0.9158,0.3667,0.9642,0.6839,0.5278,0.8309,0.521,0.7628,0.6654
