Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9508,0.9109,0.9748,0.9462,0.9411,0.9883,0.9846,0.953,0.9428
BalanceCascadeClassifier,0.9491,0.9388,0.9552,0.9458,0.9464,0.9878,0.9847,0.9469,0.947
UnderBaggingClassifier,0.9578,0.9483,0.9636,0.955,0.9554,0.9903,0.9876,0.9559,0.9559
EasyEnsembleClassifier,0.9561,0.9621,0.9524,0.9535,0.9567,0.9909,0.9889,0.9524,0.9573
RUSBoostClassifier,0.9508,0.9388,0.9581,0.9474,0.948,0.9879,0.9855,0.9477,0.9484
BalancedRandomForestClassifier,0.9578,0.9669,0.9524,0.9554,0.9592,0.9905,0.9866,0.9536,0.9597
AdaCostClassifier,0.9456,0.9527,0.9413,0.9424,0.9464,0.9861,0.9834,0.9411,0.947
AdaUBoostClassifier,0.9525,0.9247,0.9692,0.9487,0.9461,0.9854,0.9827,0.9525,0.947
AsymBoostClassifier,0.9631,0.9292,0.9832,0.96,0.9554,0.9857,0.9846,0.9658,0.9562
CatBoostClassifier,0.9578,0.939,0.9693,0.9547,0.9532,0.9925,0.9909,0.958,0.9541
SMOTEBoostClassifier,0.9649,0.9575,0.9692,0.9625,0.9629,0.9935,0.9917,0.9636,0.9633
OverBaggingClassifier,0.9578,0.9437,0.9664,0.955,0.9545,0.9885,0.9859,0.9568,0.9551
OverBoostClassifier,0.9684,0.9389,0.986,0.9658,0.9618,0.9864,0.9854,0.9705,0.9624
SMOTEBaggingClassifier,0.9613,0.9528,0.9664,0.9587,0.9593,0.9886,0.9857,0.959,0.9596
KmeansSMOTEBoostClassifier,0.9578,0.9292,0.9749,0.9544,0.9512,0.9838,0.9828,0.959,0.9521
