Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8427,0.5905,0.8446,0.4836,0.6889,0.7965,0.0416,0.5121,0.7176
BalanceCascadeClassifier,0.5971,0.5,0.5978,0.3771,0.5269,0.5459,0.0136,0.502,0.5489
UnderBaggingClassifier,0.78,0.6857,0.7807,0.4609,0.7244,0.8197,0.038,0.5104,0.7332
EasyEnsembleClassifier,0.7675,0.6571,0.7684,0.4543,0.6991,0.8046,0.0444,0.5089,0.7128
RUSBoostClassifier,0.8504,0.3143,0.8545,0.4734,0.4548,0.6506,0.0184,0.5044,0.5844
BalancedRandomForestClassifier,0.7051,0.7476,0.7047,0.4313,0.7198,0.795,0.0366,0.5082,0.7262
AdaCostClassifier,0.9191,0.1619,0.925,0.4922,0.3366,0.7745,0.0246,0.5043,0.5434
AdaUBoostClassifier,0.9117,0.4095,0.9156,0.5104,0.6087,0.7547,0.049,0.5159,0.6625
AsymBoostClassifier,0.9835,0.0905,0.9903,0.5341,0.2317,0.7629,0.0562,0.5313,0.5404
CatBoostClassifier,0.9923,0.0,1.0,0.4981,0.0,0.7692,0.0673,0.4962,0.5
SMOTEBoostClassifier,0.8781,0.4762,0.8813,0.4946,0.6349,0.7834,0.0342,0.5121,0.6787
OverBaggingClassifier,0.9923,0.0,1.0,0.4981,0.0,0.6204,0.0631,0.4962,0.5
OverBoostClassifier,0.9184,0.4095,0.9223,0.5144,0.6108,0.7626,0.0645,0.5172,0.6659
SMOTEBaggingClassifier,0.9923,0.0,1.0,0.4981,0.0,0.6788,0.0443,0.4962,0.5
