Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8303,0.5934,0.8547,0.6486,0.712,0.8494,0.3011,0.6253,0.7241
BalanceCascadeClassifier,0.8183,0.5014,0.851,0.6175,0.6525,0.7449,0.2479,0.6007,0.6762
UnderBaggingClassifier,0.7833,0.7546,0.7863,0.6313,0.7701,0.8526,0.3114,0.618,0.7704
EasyEnsembleClassifier,0.7161,0.8979,0.6973,0.5942,0.7906,0.8554,0.3134,0.61,0.7976
RUSBoostClassifier,0.7003,0.8315,0.6867,0.5746,0.7528,0.7945,0.2319,0.5975,0.7591
BalancedRandomForestClassifier,0.7462,0.8544,0.7351,0.6133,0.792,0.8577,0.3178,0.615,0.7947
AdaCostClassifier,0.7584,0.7702,0.7573,0.6121,0.7614,0.8136,0.2409,0.6093,0.7637
AdaUBoostClassifier,0.7436,0.8494,0.7327,0.6103,0.7882,0.8511,0.3118,0.6133,0.791
AsymBoostClassifier,0.8463,0.619,0.8698,0.6702,0.7326,0.8562,0.3264,0.6427,0.7444
CatBoostClassifier,0.9002,0.1023,0.9826,0.5534,0.3111,0.8555,0.314,0.6426,0.5424
SMOTEBoostClassifier,0.7441,0.8442,0.7338,0.61,0.786,0.8455,0.298,0.6128,0.789
OverBaggingClassifier,0.8961,0.1124,0.977,0.5556,0.3256,0.828,0.2802,0.6211,0.5447
OverBoostClassifier,0.7395,0.8646,0.7266,0.6092,0.7923,0.8546,0.3245,0.6139,0.7956
SMOTEBaggingClassifier,0.8863,0.1713,0.9601,0.5791,0.4025,0.8399,0.2879,0.6169,0.5657
KmeansSMOTEBoostClassifier,0.8391,0.2249,0.9025,0.5572,0.4449,0.8131,0.2333,0.5536,0.5637
