Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9861,0.9429,0.9879,0.9198,0.9642,0.9981,0.9619,0.8844,0.9654
BalanceCascadeClassifier,0.941,1.0,0.9385,0.7751,0.9687,0.9923,0.8543,0.7066,0.9693
UnderBaggingClassifier,0.9566,1.0,0.9548,0.8139,0.9771,0.99,0.7156,0.7419,0.9774
EasyEnsembleClassifier,0.9288,1.0,0.9259,0.7459,0.9622,0.9741,0.4806,0.6806,0.9629
RUSBoostClassifier,0.9317,0.8824,0.9337,0.7353,0.906,0.9593,0.4089,0.6763,0.9081
BalancedRandomForestClassifier,0.9531,1.0,0.9512,0.8032,0.9753,0.9902,0.7324,0.731,0.9756
AdaCostClassifier,0.9566,1.0,0.9548,0.8139,0.9771,0.9763,0.491,0.7419,0.9774
AdaUBoostClassifier,0.9288,1.0,0.9259,0.7459,0.9622,0.9756,0.509,0.6806,0.9629
AsymBoostClassifier,0.9537,0.9703,0.953,0.8016,0.9614,0.9755,0.5018,0.7322,0.9617
CatBoostClassifier,0.9913,0.8835,0.9958,0.9418,0.9362,0.9983,0.9624,0.9482,0.9396
SMOTEBoostClassifier,0.9531,0.8264,0.9584,0.7817,0.889,0.9718,0.4559,0.7264,0.8924
OverBaggingClassifier,0.9896,0.8418,0.9958,0.9289,0.9133,0.9984,0.9566,0.9471,0.9188
OverBoostClassifier,0.9294,1.0,0.9265,0.7472,0.9625,0.9749,0.5053,0.6817,0.9632
