Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7845,0.4862,0.8034,0.5435,0.6243,0.7279,0.1431,0.5483,0.6448
BalanceCascadeClassifier,0.8229,0.331,0.8542,0.5417,0.5311,0.6609,0.1225,0.5394,0.5926
UnderBaggingClassifier,0.7797,0.5324,0.7954,0.5478,0.6505,0.7342,0.1521,0.5529,0.6639
EasyEnsembleClassifier,0.7053,0.6689,0.7076,0.5159,0.6876,0.7516,0.1794,0.549,0.6882
RUSBoostClassifier,0.6823,0.6246,0.686,0.4962,0.6544,0.703,0.1275,0.5393,0.6553
BalancedRandomForestClassifier,0.69,0.6382,0.6933,0.5026,0.665,0.7291,0.1537,0.5424,0.6657
AdaCostClassifier,0.8365,0.408,0.8637,0.5682,0.5888,0.7431,0.1646,0.5598,0.6359
AdaUBoostClassifier,0.7135,0.6433,0.718,0.5181,0.6791,0.7352,0.161,0.5479,0.6806
AsymBoostClassifier,0.9032,0.2167,0.9467,0.5798,0.4528,0.7319,0.1556,0.5782,0.5817
CatBoostClassifier,0.9358,0.0273,0.9934,0.5076,0.1644,0.7265,0.148,0.583,0.5104
SMOTEBoostClassifier,0.8892,0.2098,0.9323,0.5624,0.4409,0.6964,0.1409,0.5566,0.5711
OverBaggingClassifier,0.9175,0.0836,0.9704,0.5321,0.2835,0.6684,0.1211,0.5486,0.527
OverBoostClassifier,0.7092,0.6228,0.7147,0.5128,0.6667,0.7337,0.1565,0.5446,0.6688
SMOTEBaggingClassifier,0.9263,0.0751,0.9803,0.5347,0.2696,0.6849,0.128,0.5696,0.5277
KmeansSMOTEBoostClassifier,0.8869,0.2303,0.9285,0.5672,0.461,0.6932,0.1481,0.5603,0.5794
