Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.863,0.8142,0.8936,0.8549,0.8527,0.931,0.8924,0.857,0.8539
BalanceCascadeClassifier,0.8512,0.8065,0.8792,0.8429,0.8419,0.9237,0.8963,0.8439,0.8428
UnderBaggingClassifier,0.863,0.8449,0.8746,0.8565,0.8592,0.9302,0.8873,0.8555,0.8597
EasyEnsembleClassifier,0.8423,0.8372,0.8458,0.8357,0.8404,0.9034,0.8514,0.8352,0.8415
RUSBoostClassifier,0.7441,0.7354,0.749,0.735,0.739,0.7908,0.7001,0.7399,0.7422
BalancedRandomForestClassifier,0.863,0.868,0.8598,0.8576,0.8635,0.9318,0.8994,0.8551,0.8639
AdaCostClassifier,0.8185,0.8914,0.7733,0.8148,0.8285,0.8896,0.8198,0.8188,0.8323
AdaUBoostClassifier,0.8155,0.8132,0.8165,0.8077,0.8131,0.8913,0.8149,0.8076,0.8149
AsymBoostClassifier,0.8274,0.7978,0.8458,0.8184,0.8196,0.8925,0.8219,0.8208,0.8218
CatBoostClassifier,0.8779,0.8446,0.8985,0.871,0.8709,0.9409,0.9202,0.8711,0.8716
SMOTEBoostClassifier,0.8065,0.8052,0.807,0.799,0.8053,0.8966,0.8382,0.797,0.8061
OverBaggingClassifier,0.863,0.7988,0.9034,0.854,0.8492,0.9262,0.8879,0.8583,0.8511
OverBoostClassifier,0.8304,0.8209,0.836,0.8226,0.8263,0.8921,0.8121,0.8239,0.8285
SMOTEBaggingClassifier,0.854,0.7988,0.8887,0.8451,0.8421,0.9279,0.8947,0.8478,0.8438
KmeansSMOTEBoostClassifier,0.8126,0.8135,0.8121,0.8049,0.81,0.8953,0.8292,0.8082,0.8128
