Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.6471,0.4801,0.7067,0.5795,0.5758,0.6584,0.4021,0.5798,0.5934
BalanceCascadeClassifier,0.673,0.4684,0.7467,0.6001,0.5884,0.6187,0.385,0.5982,0.6075
UnderBaggingClassifier,0.6601,0.5551,0.6978,0.6035,0.614,0.6488,0.3909,0.6063,0.6265
EasyEnsembleClassifier,0.6568,0.5419,0.6978,0.5961,0.5989,0.669,0.4382,0.6116,0.6198
RUSBoostClassifier,0.5555,0.3971,0.6133,0.484,0.4671,0.5389,0.3493,0.5067,0.5052
BalancedRandomForestClassifier,0.6435,0.6412,0.6444,0.607,0.6411,0.6899,0.4306,0.615,0.6428
AdaCostClassifier,0.6176,0.5074,0.6578,0.5649,0.572,0.6189,0.452,0.5763,0.5826
AdaUBoostClassifier,0.6339,0.4684,0.6933,0.57,0.567,0.5955,0.4091,0.5748,0.5809
AsymBoostClassifier,0.6895,0.3324,0.8178,0.5791,0.5197,0.6018,0.4272,0.5918,0.5751
CatBoostClassifier,0.7352,0.2581,0.9067,0.5867,0.4803,0.7168,0.4758,0.6336,0.5824
SMOTEBoostClassifier,0.6666,0.5051,0.7244,0.6015,0.5998,0.6382,0.4185,0.6035,0.6148
OverBaggingClassifier,0.673,0.2574,0.8222,0.5378,0.4505,0.6342,0.3906,0.5457,0.5398
OverBoostClassifier,0.6111,0.4191,0.68,0.5419,0.53,0.582,0.4003,0.5475,0.5496
SMOTEBaggingClassifier,0.6893,0.3184,0.8222,0.5719,0.5043,0.6314,0.3738,0.5811,0.5703
KmeansSMOTEBoostClassifier,0.6666,0.4309,0.7511,0.5878,0.5588,0.6025,0.4037,0.5894,0.591
