Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8625,0.8,0.8813,0.7761,0.8197,0.9473,0.1213,0.795,0.8407
BalanceCascadeClassifier,0.85,0.8667,0.8516,0.7728,0.8366,0.9366,0.1228,0.7967,0.8592
UnderBaggingClassifier,0.8375,0.8667,0.8385,0.7652,0.8273,0.9483,0.121,0.7983,0.8526
EasyEnsembleClassifier,0.85,0.7333,0.8824,0.7566,0.7843,0.9324,0.1227,0.7873,0.8079
RUSBoostClassifier,0.85,0.5333,0.9121,0.7412,0.629,0.8183,0.1433,0.8045,0.7227
BalancedRandomForestClassifier,0.825,0.8667,0.8209,0.7479,0.8274,0.9288,0.1235,0.7279,0.8438
AdaCostClassifier,0.8375,0.8,0.8527,0.7537,0.8027,0.8403,0.1373,0.7836,0.8264
AdaUBoostClassifier,0.875,0.5333,0.9429,0.7532,0.6348,0.8178,0.1508,0.8237,0.7381
AsymBoostClassifier,0.9,0.6,0.956,0.7875,0.7449,0.8535,0.1427,0.8314,0.778
CatBoostClassifier,0.8875,0.4,0.9857,0.7149,0.5565,0.9068,0.1264,0.797,0.6929
SMOTEBoostClassifier,0.875,0.7,0.911,0.7864,0.7817,0.8352,0.1445,0.8223,0.8055
OverBaggingClassifier,0.9125,0.6333,0.9703,0.821,0.7719,0.8945,0.1233,0.8814,0.8018
OverBoostClassifier,0.875,0.5333,0.9407,0.7465,0.7018,0.9027,0.1261,0.7903,0.737
SMOTEBaggingClassifier,0.9,0.6333,0.9571,0.8134,0.7674,0.9191,0.1237,0.889,0.7952
