Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9806,0.8967,0.9876,0.9333,0.941,0.9945,0.9445,0.9251,0.9422
BalanceCascadeClassifier,0.9764,0.9017,0.9826,0.9212,0.9413,0.9925,0.9189,0.9031,0.9421
UnderBaggingClassifier,0.9513,0.9417,0.9521,0.861,0.9467,0.9863,0.8518,0.8089,0.9469
EasyEnsembleClassifier,0.9251,0.9333,0.9244,0.8082,0.9288,0.9781,0.8416,0.7518,0.9289
RUSBoostClassifier,0.8969,0.6933,0.9139,0.725,0.7944,0.9176,0.5144,0.6872,0.8036
BalancedRandomForestClassifier,0.9431,0.9683,0.9409,0.8464,0.9545,0.9881,0.8761,0.7885,0.9546
AdaCostClassifier,0.8717,0.9683,0.8637,0.7317,0.9145,0.9767,0.8168,0.6847,0.916
AdaUBoostClassifier,0.9534,0.8967,0.9582,0.8616,0.9268,0.9769,0.8557,0.8174,0.9274
AsymBoostClassifier,0.9659,0.8333,0.9769,0.8856,0.9022,0.9811,0.8695,0.8684,0.9051
CatBoostClassifier,0.9736,0.7367,0.9933,0.898,0.8548,0.9902,0.9257,0.9406,0.865
SMOTEBoostClassifier,0.9582,0.845,0.9676,0.8671,0.9042,0.9735,0.8332,0.8367,0.9063
OverBaggingClassifier,0.962,0.6383,0.989,0.8502,0.7941,0.9819,0.8406,0.8995,0.8137
OverBoostClassifier,0.9537,0.89,0.959,0.8612,0.9238,0.9771,0.8545,0.8178,0.9245
SMOTEBaggingClassifier,0.9656,0.6833,0.9892,0.8676,0.822,0.9872,0.8652,0.9074,0.8362
KmeansSMOTEBoostClassifier,0.9564,0.79,0.9703,0.8563,0.8753,0.9739,0.8208,0.8359,0.8801
