Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9974,0.9455,0.9994,0.9815,0.972,0.9998,0.9948,0.9913,0.9725
BalanceCascadeClassifier,0.9967,0.9632,0.998,0.9768,0.9804,0.9997,0.9903,0.9736,0.9806
UnderBaggingClassifier,0.9842,0.9796,0.9843,0.9057,0.9819,0.9991,0.9826,0.8524,0.9819
EasyEnsembleClassifier,0.9454,0.9714,0.9445,0.7689,0.9578,0.9924,0.8938,0.6996,0.9579
RUSBoostClassifier,0.9666,0.9415,0.9676,0.8293,0.9544,0.9916,0.8313,0.7631,0.9545
BalancedRandomForestClassifier,0.9812,0.9877,0.9809,0.8924,0.9843,0.9992,0.9851,0.8328,0.9843
AdaCostClassifier,0.8788,0.9946,0.8743,0.6545,0.9325,0.9772,0.5653,0.6159,0.9344
AdaUBoostClassifier,0.9752,0.9687,0.9755,0.8644,0.9721,0.9975,0.9564,0.8001,0.9721
AsymBoostClassifier,0.9868,0.9223,0.9892,0.9147,0.9551,0.997,0.9496,0.8814,0.9558
CatBoostClassifier,0.9962,0.9115,0.9995,0.9724,0.9544,0.999,0.9874,0.991,0.9555
SMOTEBoostClassifier,0.9848,0.9387,0.9866,0.9056,0.9623,0.9971,0.9583,0.8623,0.9626
OverBaggingClassifier,0.9966,0.9292,0.9992,0.9756,0.9634,0.9982,0.9866,0.9881,0.9642
OverBoostClassifier,0.9744,0.9755,0.9744,0.8617,0.9749,0.9976,0.9577,0.7957,0.9749
SMOTEBaggingClassifier,0.9968,0.9332,0.9992,0.9768,0.9656,0.9995,0.9891,0.9881,0.9662
