Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9722,0.79,0.9851,0.8918,0.8787,0.9354,0.8382,0.9218,0.8875
BalanceCascadeClassifier,0.9583,0.79,0.9701,0.8626,0.8719,0.9742,0.8574,0.8803,0.8801
UnderBaggingClassifier,0.9472,0.71,0.9642,0.8095,0.8256,0.9276,0.7756,0.7911,0.8371
EasyEnsembleClassifier,0.9528,0.76,0.9673,0.8319,0.8536,0.9408,0.8272,0.8147,0.8636
RUSBoostClassifier,0.9389,0.66,0.9582,0.7868,0.7845,0.9421,0.7683,0.8047,0.8091
BalancedRandomForestClassifier,0.9278,0.84,0.9344,0.79,0.8818,0.9448,0.8011,0.7456,0.8872
AdaCostClassifier,0.7139,0.88,0.7022,0.5733,0.7822,0.8574,0.477,0.6005,0.7911
AdaUBoostClassifier,0.9639,0.59,0.991,0.8372,0.7493,0.9033,0.7537,0.9104,0.7905
AsymBoostClassifier,0.9778,0.8,0.991,0.9077,0.8845,0.9212,0.8225,0.9427,0.8955
CatBoostClassifier,0.9722,0.59,1.0,0.8506,0.7514,0.96,0.8226,0.9856,0.795
SMOTEBoostClassifier,0.9722,0.68,0.994,0.8776,0.8173,0.9027,0.7952,0.9483,0.837
OverBaggingClassifier,0.975,0.67,0.997,0.8846,0.8157,0.96,0.8572,0.9633,0.8335
OverBoostClassifier,0.9722,0.59,1.0,0.8566,0.76,0.9194,0.8424,0.9856,0.795
SMOTEBaggingClassifier,0.975,0.67,0.997,0.8846,0.8157,0.9575,0.8661,0.9633,0.8335
KmeansSMOTEBoostClassifier,0.9583,0.51,0.991,0.8013,0.7047,0.8878,0.7033,0.8993,0.7505
