Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.6087,0.36,0.6508,0.4719,0.472,0.4917,0.1766,0.5023,0.5054
BalanceCascadeClassifier,0.6145,0.32,0.6644,0.4681,0.4084,0.4741,0.1829,0.4957,0.4922
UnderBaggingClassifier,0.6348,0.38,0.678,0.4952,0.501,0.5453,0.1895,0.5167,0.529
EasyEnsembleClassifier,0.5681,0.44,0.5898,0.4618,0.501,0.5095,0.1914,0.5076,0.5149
RUSBoostClassifier,0.6435,0.32,0.6983,0.4864,0.4589,0.479,0.172,0.5044,0.5092
BalancedRandomForestClassifier,0.5217,0.52,0.522,0.4425,0.5116,0.5441,0.2056,0.5112,0.521
AdaCostClassifier,0.6638,0.32,0.722,0.4968,0.4664,0.499,0.1924,0.5132,0.521
AdaUBoostClassifier,0.6319,0.2,0.7051,0.4488,0.3266,0.43,0.1557,0.4703,0.4525
AsymBoostClassifier,0.7652,0.08,0.8814,0.4738,0.1997,0.4546,0.1642,0.47,0.4807
CatBoostClassifier,0.8551,0.0,1.0,0.4609,0.0,0.5095,0.2217,0.4275,0.5
SMOTEBoostClassifier,0.6261,0.26,0.6881,0.4644,0.4123,0.4741,0.1827,0.4893,0.4741
OverBaggingClassifier,0.8522,0.0,0.9966,0.4601,0.0,0.4702,0.1673,0.4273,0.4983
OverBoostClassifier,0.6667,0.3,0.7288,0.4939,0.4396,0.4869,0.185,0.5066,0.5144
SMOTEBaggingClassifier,0.8174,0.0,0.9559,0.4495,0.0,0.4651,0.1793,0.4246,0.478
KmeansSMOTEBoostClassifier,0.6754,0.28,0.7424,0.4956,0.4416,0.4708,0.1852,0.5094,0.5112
