Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9854,0.7462,0.9911,0.8483,0.8595,0.9515,0.7611,0.8315,0.8686
BalanceCascadeClassifier,0.6849,0.8115,0.6819,0.4579,0.7436,0.8935,0.6801,0.5254,0.7467
UnderBaggingClassifier,0.9484,0.8538,0.9507,0.7041,0.9007,0.9469,0.6373,0.6443,0.9023
EasyEnsembleClassifier,0.9006,0.8577,0.9016,0.6165,0.8788,0.937,0.6276,0.5843,0.8796
RUSBoostClassifier,0.8955,0.7654,0.8986,0.6003,0.8292,0.8943,0.4084,0.5743,0.832
BalancedRandomForestClassifier,0.9298,0.8846,0.9309,0.6663,0.907,0.9523,0.6257,0.6155,0.9077
AdaCostClassifier,0.861,0.8538,0.8612,0.578,0.8568,0.9169,0.4748,0.5658,0.8575
AdaUBoostClassifier,0.9327,0.8154,0.9355,0.6624,0.873,0.93,0.6256,0.6134,0.8754
AsymBoostClassifier,0.9796,0.7077,0.9861,0.8042,0.8352,0.933,0.6339,0.7727,0.8469
CatBoostClassifier,0.9886,0.6115,0.9975,0.8531,0.7801,0.9552,0.7534,0.9236,0.8045
SMOTEBoostClassifier,0.9279,0.85,0.9298,0.6586,0.8887,0.9367,0.6464,0.6106,0.8899
OverBaggingClassifier,0.986,0.5115,0.9973,0.8106,0.7127,0.9017,0.6937,0.9054,0.7544
OverBoostClassifier,0.9328,0.8308,0.9352,0.6658,0.881,0.9266,0.6258,0.616,0.883
SMOTEBaggingClassifier,0.9861,0.5923,0.9954,0.8281,0.767,0.9147,0.7044,0.8751,0.7939
KmeansSMOTEBoostClassifier,0.9773,0.6346,0.9854,0.7788,0.7899,0.93,0.6307,0.7624,0.81
