Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.937,0.6306,0.9509,0.7175,0.7725,0.9136,0.5343,0.6788,0.7907
BalanceCascadeClassifier,0.9349,0.6083,0.9498,0.7076,0.7548,0.9355,0.5635,0.6794,0.7791
UnderBaggingClassifier,0.8741,0.8028,0.8772,0.6463,0.8379,0.9359,0.5555,0.6128,0.84
EasyEnsembleClassifier,0.889,0.7778,0.894,0.6616,0.8316,0.9311,0.5797,0.6235,0.8359
RUSBoostClassifier,0.9114,0.5806,0.9263,0.6513,0.6925,0.8514,0.3578,0.6219,0.7534
BalancedRandomForestClassifier,0.8293,0.85,0.8281,0.604,0.8367,0.9331,0.4769,0.5896,0.8391
AdaCostClassifier,0.7898,0.825,0.788,0.5686,0.8038,0.8985,0.4443,0.573,0.8065
AdaUBoostClassifier,0.9498,0.5083,0.9699,0.7175,0.6903,0.8328,0.5065,0.7322,0.7391
AsymBoostClassifier,0.9584,0.4361,0.9821,0.7285,0.6518,0.8504,0.4964,0.7661,0.7091
CatBoostClassifier,0.9626,0.3861,0.9888,0.7261,0.613,0.9122,0.5621,0.8006,0.6875
SMOTEBoostClassifier,0.9616,0.6083,0.9777,0.7751,0.759,0.839,0.4647,0.7692,0.793
OverBaggingClassifier,0.9616,0.2667,0.9933,0.6707,0.4998,0.9054,0.5011,0.8687,0.63
OverBoostClassifier,0.953,0.5583,0.971,0.7438,0.7323,0.8465,0.5089,0.7373,0.7647
SMOTEBaggingClassifier,0.9626,0.3139,0.9922,0.6954,0.5465,0.9252,0.5421,0.8669,0.653
KmeansSMOTEBoostClassifier,0.9616,0.4694,0.9844,0.7409,0.6631,0.8099,0.4582,0.7829,0.7269
