Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9911,0.9224,0.9986,0.9741,0.9597,0.9987,0.9902,0.9891,0.9605
BalanceCascadeClassifier,0.9909,0.9441,0.9961,0.9742,0.9696,0.9981,0.9868,0.9791,0.9701
UnderBaggingClassifier,0.9826,0.9458,0.9866,0.9525,0.9659,0.9966,0.9753,0.9405,0.9662
EasyEnsembleClassifier,0.9399,0.908,0.9433,0.8574,0.9254,0.9788,0.9028,0.8137,0.9257
RUSBoostClassifier,0.9356,0.8917,0.9404,0.8482,0.9156,0.9708,0.8752,0.8056,0.916
BalancedRandomForestClassifier,0.9781,0.9603,0.9801,0.9422,0.97,0.9974,0.9789,0.9188,0.9702
AdaCostClassifier,0.4488,0.9982,0.3887,0.411,0.6218,0.9764,0.8791,0.5758,0.6934
AdaUBoostClassifier,0.9605,0.9079,0.9662,0.8986,0.9364,0.985,0.9351,0.869,0.9371
AsymBoostClassifier,0.9728,0.8754,0.9834,0.9243,0.9278,0.9855,0.9337,0.9196,0.9294
CatBoostClassifier,0.9911,0.926,0.9982,0.9742,0.9614,0.999,0.9926,0.9873,0.9621
SMOTEBoostClassifier,0.9717,0.8502,0.985,0.9199,0.9149,0.9872,0.938,0.923,0.9176
OverBaggingClassifier,0.9833,0.8358,0.9994,0.9491,0.9137,0.9971,0.9803,0.9881,0.9176
OverBoostClassifier,0.9578,0.9206,0.9619,0.8937,0.9407,0.9868,0.9365,0.8591,0.9413
SMOTEBaggingClassifier,0.984,0.843,0.9994,0.9516,0.9178,0.9975,0.9828,0.9885,0.9212
KmeansSMOTEBoostClassifier,0.9726,0.8484,0.9862,0.9219,0.9145,0.983,0.9299,0.9272,0.9173
