Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9235,0.6562,0.9314,0.6437,0.7773,0.8983,0.3213,0.6043,0.7938
BalanceCascadeClassifier,0.931,0.6171,0.9403,0.653,0.7597,0.8577,0.3036,0.6135,0.7787
UnderBaggingClassifier,0.8746,0.7257,0.879,0.5904,0.7945,0.8803,0.3049,0.5707,0.8024
EasyEnsembleClassifier,0.8624,0.7686,0.8652,0.5833,0.8123,0.8982,0.3355,0.568,0.8169
RUSBoostClassifier,0.8628,0.4829,0.8742,0.5422,0.6286,0.8049,0.1557,0.5401,0.6785
BalancedRandomForestClassifier,0.8099,0.8371,0.8092,0.5476,0.8219,0.8829,0.294,0.555,0.8232
AdaCostClassifier,0.7673,0.7657,0.7673,0.5142,0.7636,0.8382,0.2403,0.5418,0.7665
AdaUBoostClassifier,0.9393,0.5486,0.9509,0.6523,0.7116,0.8484,0.3201,0.6147,0.7497
AsymBoostClassifier,0.9625,0.3143,0.9817,0.6519,0.5494,0.8051,0.2863,0.6578,0.648
CatBoostClassifier,0.9708,0.0819,0.9972,0.5606,0.2515,0.8803,0.2419,0.6951,0.5395
SMOTEBoostClassifier,0.9263,0.521,0.9383,0.6221,0.6897,0.8493,0.3017,0.5911,0.7296
OverBaggingClassifier,0.972,0.0971,0.998,0.5752,0.2705,0.8197,0.3014,0.7703,0.5476
OverBoostClassifier,0.9381,0.48,0.9517,0.6357,0.6671,0.8284,0.3165,0.6051,0.7158
SMOTEBaggingClassifier,0.9708,0.1114,0.9963,0.5809,0.2924,0.8344,0.26,0.7188,0.5539
