Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9868,0.7565,0.9918,0.8491,0.8629,0.9906,0.7614,0.8313,0.8742
BalanceCascadeClassifier,0.9826,0.8435,0.9856,0.8317,0.911,0.9903,0.7702,0.7789,0.9146
UnderBaggingClassifier,0.947,0.9391,0.9472,0.7019,0.9429,0.987,0.6738,0.6398,0.9432
EasyEnsembleClassifier,0.9508,0.9304,0.9513,0.7103,0.9407,0.9845,0.7074,0.6465,0.9409
RUSBoostClassifier,0.9618,0.8087,0.9651,0.729,0.8809,0.9778,0.52,0.6709,0.8869
BalancedRandomForestClassifier,0.9282,0.9565,0.9276,0.6617,0.9415,0.9879,0.7271,0.6113,0.9421
AdaCostClassifier,0.8381,0.9826,0.835,0.5568,0.9058,0.9523,0.3178,0.5566,0.9088
AdaUBoostClassifier,0.973,0.8783,0.975,0.7849,0.9249,0.9712,0.7491,0.7204,0.9266
AsymBoostClassifier,0.9852,0.7739,0.9897,0.8391,0.8737,0.9703,0.7412,0.8091,0.8818
CatBoostClassifier,0.9896,0.6261,0.9974,0.8541,0.7879,0.9934,0.8025,0.9171,0.8117
SMOTEBoostClassifier,0.9741,0.8609,0.9765,0.7854,0.9167,0.9813,0.7416,0.7202,0.9187
OverBaggingClassifier,0.9885,0.5652,0.9976,0.8319,0.7474,0.9694,0.7228,0.9094,0.7814
OverBoostClassifier,0.9717,0.8348,0.9746,0.7709,0.9012,0.9721,0.726,0.7088,0.9047
SMOTEBaggingClassifier,0.9879,0.6261,0.9957,0.8379,0.7865,0.9779,0.7521,0.8755,0.8109
KmeansSMOTEBoostClassifier,0.9848,0.5826,0.9935,0.8045,0.759,0.9642,0.6746,0.8266,0.788
