Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9971,0.9735,0.9996,0.9915,0.9864,0.9998,0.9978,0.9967,0.9865
BalanceCascadeClassifier,0.9972,0.9763,0.9994,0.9918,0.9878,0.9998,0.9976,0.9959,0.9878
UnderBaggingClassifier,0.9956,0.9773,0.9976,0.9874,0.9873,0.9996,0.9959,0.9874,0.9874
EasyEnsembleClassifier,0.9431,0.9289,0.9447,0.863,0.9367,0.9856,0.9197,0.8164,0.9368
RUSBoostClassifier,0.9568,0.9299,0.9596,0.891,0.9446,0.9868,0.9286,0.8527,0.9448
BalancedRandomForestClassifier,0.9969,0.9905,0.9976,0.9911,0.994,0.9998,0.9977,0.9883,0.9941
AdaCostClassifier,0.6592,0.9962,0.6234,0.5642,0.7877,0.9663,0.7435,0.6102,0.8098
AdaUBoostClassifier,0.9715,0.9564,0.9731,0.9249,0.9647,0.9942,0.9697,0.8931,0.9648
AsymBoostClassifier,0.9819,0.927,0.9877,0.9488,0.9569,0.994,0.9707,0.9408,0.9574
CatBoostClassifier,0.9971,0.9744,0.9995,0.9915,0.9869,0.9998,0.996,0.9962,0.987
SMOTEBoostClassifier,0.9752,0.9431,0.9786,0.9328,0.9607,0.9936,0.968,0.9091,0.9608
OverBaggingClassifier,0.995,0.9555,0.9992,0.9853,0.977,0.9982,0.994,0.9937,0.9773
OverBoostClassifier,0.9728,0.9545,0.9747,0.928,0.9646,0.9943,0.9704,0.8986,0.9646
SMOTEBaggingClassifier,0.9954,0.9573,0.9994,0.9864,0.9781,0.9986,0.9951,0.9948,0.9784
KmeansSMOTEBoostClassifier,0.9799,0.8929,0.9891,0.942,0.9397,0.9917,0.956,0.9432,0.941
