Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9354,0.722,0.9583,0.8238,0.831,0.9617,0.7742,0.8102,0.8402
BalanceCascadeClassifier,0.9327,0.7204,0.9556,0.8186,0.8289,0.9551,0.7566,0.8035,0.838
UnderBaggingClassifier,0.8943,0.8306,0.9012,0.7715,0.8645,0.9526,0.7273,0.7278,0.8659
EasyEnsembleClassifier,0.8516,0.8529,0.8514,0.7198,0.8516,0.934,0.6618,0.6822,0.8522
RUSBoostClassifier,0.8524,0.7667,0.8616,0.7077,0.8122,0.9065,0.5343,0.6728,0.8141
BalancedRandomForestClassifier,0.8674,0.8913,0.8649,0.7444,0.8778,0.9525,0.7309,0.7016,0.8781
AdaCostClassifier,0.8003,0.9249,0.7869,0.6756,0.8529,0.921,0.4849,0.6546,0.8559
AdaUBoostClassifier,0.853,0.8609,0.8521,0.7225,0.8557,0.9328,0.6473,0.6845,0.8565
AsymBoostClassifier,0.8967,0.7299,0.9146,0.7597,0.8166,0.932,0.6263,0.7245,0.8223
CatBoostClassifier,0.9406,0.5798,0.9795,0.8111,0.7532,0.9514,0.7531,0.8549,0.7797
SMOTEBoostClassifier,0.8852,0.8242,0.8917,0.758,0.8569,0.9355,0.6414,0.7152,0.858
OverBaggingClassifier,0.94,0.5255,0.9847,0.7985,0.7189,0.9534,0.7543,0.8694,0.7551
OverBoostClassifier,0.8595,0.8673,0.8587,0.7312,0.8625,0.9367,0.6519,0.691,0.863
SMOTEBaggingClassifier,0.9388,0.5655,0.979,0.8036,0.7429,0.9551,0.7449,0.8502,0.7722
KmeansSMOTEBoostClassifier,0.903,0.7075,0.9241,0.7643,0.806,0.9348,0.6562,0.7336,0.8158
