Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8434,0.4914,0.8713,0.6131,0.6528,0.8101,0.2887,0.5939,0.6814
BalanceCascadeClassifier,0.8617,0.4346,0.8955,0.619,0.6222,0.7742,0.273,0.6003,0.6651
UnderBaggingClassifier,0.813,0.5079,0.8372,0.5894,0.6514,0.8093,0.2853,0.5776,0.6726
EasyEnsembleClassifier,0.7752,0.6268,0.787,0.579,0.7023,0.7831,0.2783,0.5769,0.7069
RUSBoostClassifier,0.7279,0.333,0.7592,0.496,0.5019,0.5949,0.1223,0.5181,0.5461
BalancedRandomForestClassifier,0.7204,0.706,0.7215,0.5491,0.7137,0.803,0.266,0.5683,0.7138
AdaCostClassifier,0.6365,0.7163,0.63,0.4924,0.6655,0.7335,0.1853,0.5496,0.6732
AdaUBoostClassifier,0.8197,0.3894,0.8538,0.5689,0.5744,0.7078,0.1984,0.5602,0.6216
AsymBoostClassifier,0.8845,0.2489,0.935,0.588,0.4776,0.7204,0.2259,0.5854,0.5919
CatBoostClassifier,0.9277,0.0846,0.9946,0.5539,0.2858,0.7607,0.2913,0.7374,0.5396
SMOTEBoostClassifier,0.8155,0.3503,0.8525,0.557,0.5445,0.6934,0.166,0.5513,0.6014
OverBaggingClassifier,0.9265,0.0679,0.9946,0.5396,0.2289,0.7997,0.2539,0.6887,0.5313
OverBoostClassifier,0.8209,0.3843,0.8556,0.5692,0.5725,0.7274,0.2308,0.5605,0.6199
SMOTEBaggingClassifier,0.9252,0.0849,0.9919,0.5509,0.2807,0.7838,0.2463,0.7032,0.5384
KmeansSMOTEBoostClassifier,0.8617,0.3276,0.904,0.5918,0.5439,0.7257,0.2364,0.5808,0.6158
