Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9776,0.8569,0.9899,0.9318,0.9207,0.9879,0.8974,0.9415,0.9234
BalanceCascadeClassifier,0.9763,0.8944,0.9847,0.931,0.9381,0.9848,0.8921,0.9242,0.9396
UnderBaggingClassifier,0.9649,0.9352,0.9679,0.9068,0.9513,0.9878,0.8942,0.8739,0.9516
EasyEnsembleClassifier,0.9621,0.9078,0.9676,0.898,0.937,0.9771,0.8582,0.8683,0.9377
RUSBoostClassifier,0.9308,0.8256,0.9415,0.8249,0.8808,0.9398,0.6986,0.7875,0.8835
BalancedRandomForestClassifier,0.9576,0.9182,0.9617,0.8898,0.9395,0.9837,0.8904,0.8552,0.9399
AdaCostClassifier,0.8707,0.9796,0.8596,0.7546,0.9175,0.9616,0.6515,0.7083,0.9196
AdaUBoostClassifier,0.964,0.9045,0.97,0.902,0.9365,0.9771,0.8456,0.8751,0.9373
AsymBoostClassifier,0.9684,0.8874,0.9767,0.9108,0.9306,0.9757,0.8369,0.8941,0.932
CatBoostClassifier,0.9782,0.8602,0.9902,0.934,0.9228,0.9866,0.8859,0.9433,0.9252
SMOTEBoostClassifier,0.9646,0.8807,0.9732,0.9011,0.9253,0.9717,0.8414,0.8811,0.9269
OverBaggingClassifier,0.9782,0.857,0.9906,0.9334,0.9209,0.9819,0.8962,0.9447,0.9238
OverBoostClassifier,0.9627,0.8909,0.97,0.8977,0.9293,0.9743,0.835,0.8726,0.9305
SMOTEBaggingClassifier,0.9772,0.8535,0.9899,0.9308,0.9188,0.9849,0.8938,0.9415,0.9217
KmeansSMOTEBoostClassifier,0.9681,0.8603,0.9791,0.9076,0.9173,0.9743,0.8414,0.8971,0.9197
