Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8179,0.6308,0.8274,0.574,0.7153,0.795,0.2051,0.569,0.7291
BalanceCascadeClassifier,0.6861,0.6319,0.6889,0.4863,0.6565,0.6941,0.1665,0.5352,0.6604
UnderBaggingClassifier,0.7588,0.6769,0.7631,0.5351,0.7121,0.7873,0.2029,0.5531,0.72
EasyEnsembleClassifier,0.7271,0.6176,0.7328,0.5092,0.672,0.7607,0.2275,0.5405,0.6752
RUSBoostClassifier,0.7142,0.589,0.7207,0.4975,0.6462,0.7117,0.215,0.5352,0.6549
BalancedRandomForestClassifier,0.6983,0.7934,0.6934,0.5091,0.7393,0.8102,0.2305,0.5514,0.7434
AdaCostClassifier,0.7782,0.4418,0.7956,0.5166,0.5844,0.7263,0.1698,0.5326,0.6187
AdaUBoostClassifier,0.7574,0.5462,0.7684,0.518,0.6419,0.7662,0.2492,0.5392,0.6573
AsymBoostClassifier,0.9201,0.3396,0.95,0.6183,0.5468,0.7637,0.2411,0.6072,0.6448
CatBoostClassifier,0.9395,0.1176,0.9818,0.5605,0.3299,0.7272,0.1741,0.6399,0.5497
SMOTEBoostClassifier,0.8877,0.3538,0.9152,0.5805,0.5416,0.7582,0.2195,0.5665,0.6345
OverBaggingClassifier,0.8863,0.2484,0.919,0.5554,0.4697,0.7316,0.1235,0.5465,0.5837
OverBoostClassifier,0.7538,0.6033,0.7615,0.5224,0.6702,0.7692,0.2502,0.544,0.6824
SMOTEBaggingClassifier,0.9172,0.1747,0.9553,0.5587,0.3846,0.7439,0.1371,0.5571,0.565
KmeansSMOTEBoostClassifier,0.897,0.3088,0.9273,0.5794,0.5153,0.7565,0.2266,0.5695,0.6181
