Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9717,0.7778,0.9897,0.9043,0.8757,0.975,0.9072,0.9329,0.8837
BalanceCascadeClassifier,0.9717,0.8444,0.9835,0.9102,0.9102,0.9752,0.9023,0.9099,0.914
UnderBaggingClassifier,0.9209,0.7778,0.9341,0.7954,0.8517,0.9526,0.8055,0.7611,0.856
EasyEnsembleClassifier,0.9548,0.9111,0.9588,0.8746,0.9335,0.9708,0.8813,0.8353,0.935
RUSBoostClassifier,0.9378,0.6667,0.9629,0.8096,0.7967,0.9428,0.7437,0.8224,0.8148
BalancedRandomForestClassifier,0.9453,0.9333,0.9464,0.862,0.9389,0.9689,0.8744,0.8212,0.9399
AdaCostClassifier,0.81,0.9111,0.8007,0.6727,0.8528,0.9363,0.7655,0.6517,0.8559
AdaUBoostClassifier,0.9661,0.7556,0.9856,0.888,0.8604,0.9728,0.8623,0.9194,0.8706
AsymBoostClassifier,0.9642,0.7333,0.9856,0.8794,0.8496,0.9681,0.8654,0.9072,0.8595
CatBoostClassifier,0.9717,0.7333,0.9938,0.8906,0.8421,0.9747,0.9013,0.9406,0.8636
SMOTEBoostClassifier,0.9604,0.7333,0.9814,0.8679,0.8457,0.9689,0.8488,0.8878,0.8574
OverBaggingClassifier,0.9585,0.6,0.9918,0.8378,0.7632,0.9545,0.8383,0.9154,0.7959
OverBoostClassifier,0.9642,0.7556,0.9835,0.881,0.8595,0.9697,0.8382,0.9033,0.8695
SMOTEBaggingClassifier,0.9623,0.6667,0.9897,0.862,0.8076,0.9683,0.8533,0.9099,0.8282
KmeansSMOTEBoostClassifier,0.9717,0.8222,0.9856,0.9104,0.8997,0.9796,0.9183,0.9229,0.9039
