Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7787,0.6326,0.8278,0.7187,0.723,0.8619,0.6478,0.711,0.7302
BalanceCascadeClassifier,0.7941,0.6461,0.8436,0.7356,0.7375,0.8612,0.6412,0.7296,0.7448
UnderBaggingClassifier,0.7751,0.7312,0.7899,0.731,0.76,0.855,0.6231,0.7196,0.7605
EasyEnsembleClassifier,0.7598,0.7357,0.7677,0.7163,0.7501,0.8188,0.6048,0.7072,0.7517
RUSBoostClassifier,0.716,0.6272,0.7455,0.6604,0.681,0.7635,0.5297,0.6557,0.6864
BalancedRandomForestClassifier,0.755,0.8111,0.7362,0.7214,0.7713,0.8499,0.5994,0.7165,0.7736
AdaCostClassifier,0.6698,0.8911,0.5955,0.6525,0.7271,0.8255,0.6063,0.6854,0.7433
AdaUBoostClassifier,0.7692,0.6836,0.7978,0.7181,0.7382,0.8431,0.6293,0.7079,0.7407
AsymBoostClassifier,0.7846,0.5848,0.8514,0.7167,0.7055,0.8486,0.6438,0.7168,0.7181
CatBoostClassifier,0.7858,0.3302,0.9384,0.6513,0.5554,0.8584,0.6512,0.7278,0.6343
SMOTEBoostClassifier,0.7787,0.6604,0.8183,0.7241,0.7347,0.8358,0.6107,0.7159,0.7393
OverBaggingClassifier,0.7822,0.4434,0.8957,0.6825,0.6293,0.8555,0.6319,0.7088,0.6696
OverBoostClassifier,0.7834,0.7265,0.8024,0.7388,0.7632,0.8493,0.6642,0.7288,0.7644
SMOTEBaggingClassifier,0.774,0.505,0.8641,0.6878,0.6566,0.8597,0.6356,0.696,0.6846
KmeansSMOTEBoostClassifier,0.7799,0.5097,0.8704,0.6963,0.6651,0.8237,0.6152,0.7055,0.6901
