Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9889,0.8616,0.9972,0.949,0.9264,0.9948,0.9652,0.9736,0.9294
BalanceCascadeClassifier,0.9838,0.918,0.9881,0.933,0.9522,0.9967,0.9536,0.9163,0.9531
UnderBaggingClassifier,0.9711,0.9655,0.9715,0.8949,0.9684,0.9943,0.9257,0.8452,0.9685
EasyEnsembleClassifier,0.9642,0.9134,0.9675,0.8693,0.94,0.9752,0.7399,0.8214,0.9405
RUSBoostClassifier,0.9075,0.8137,0.9136,0.7406,0.8611,0.9155,0.56,0.6948,0.8636
BalancedRandomForestClassifier,0.9639,0.9481,0.965,0.8718,0.9564,0.9886,0.8686,0.8177,0.9565
AdaCostClassifier,0.8558,0.9784,0.8478,0.6871,0.9105,0.937,0.4325,0.649,0.9131
AdaUBoostClassifier,0.9658,0.8962,0.9703,0.8726,0.9324,0.9564,0.7539,0.8301,0.9333
AsymBoostClassifier,0.97,0.8183,0.9799,0.8768,0.8948,0.9656,0.7653,0.8598,0.8991
CatBoostClassifier,0.9881,0.8833,0.9949,0.9472,0.9369,0.9956,0.9434,0.9579,0.9391
SMOTEBoostClassifier,0.9692,0.8268,0.9785,0.8756,0.899,0.965,0.7559,0.8551,0.9027
OverBaggingClassifier,0.9846,0.8311,0.9946,0.9299,0.9085,0.9888,0.9504,0.9511,0.9129
OverBoostClassifier,0.9642,0.8918,0.9689,0.8672,0.9294,0.9613,0.7541,0.8234,0.9304
SMOTEBaggingClassifier,0.9854,0.84,0.9949,0.934,0.9137,0.9925,0.9485,0.9547,0.9174
KmeansSMOTEBoostClassifier,0.9695,0.7922,0.9811,0.8718,0.88,0.9588,0.767,0.8625,0.8867
