Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9062,0.6133,0.93,0.7208,0.7519,0.9099,0.5483,0.694,0.7717
BalanceCascadeClassifier,0.9077,0.6333,0.9301,0.7279,0.7641,0.8972,0.5397,0.7008,0.7817
UnderBaggingClassifier,0.8576,0.8133,0.8612,0.6907,0.8335,0.915,0.5042,0.6565,0.8373
EasyEnsembleClassifier,0.8491,0.86,0.8482,0.689,0.852,0.924,0.5898,0.6557,0.8541
RUSBoostClassifier,0.8295,0.5133,0.8552,0.6073,0.6582,0.7842,0.2573,0.5905,0.6843
BalancedRandomForestClassifier,0.8395,0.86,0.8379,0.678,0.8458,0.9177,0.5065,0.6484,0.8489
AdaCostClassifier,0.7548,0.92,0.7413,0.6058,0.8237,0.8993,0.4801,0.6103,0.8307
AdaUBoostClassifier,0.8897,0.6333,0.9105,0.7015,0.7571,0.8925,0.5283,0.6717,0.7719
AsymBoostClassifier,0.9177,0.5333,0.949,0.726,0.7097,0.8982,0.5442,0.7219,0.7412
CatBoostClassifier,0.9398,0.3733,0.9859,0.7227,0.601,0.9046,0.5782,0.82,0.6796
SMOTEBoostClassifier,0.8821,0.6133,0.904,0.6873,0.7427,0.8858,0.4815,0.6581,0.7587
OverBaggingClassifier,0.9348,0.3467,0.9826,0.7021,0.577,0.8868,0.4948,0.78,0.6647
OverBoostClassifier,0.8922,0.6867,0.9089,0.7154,0.7881,0.8951,0.5432,0.6809,0.7978
SMOTEBaggingClassifier,0.9278,0.3667,0.9734,0.6945,0.5921,0.8986,0.5108,0.7407,0.67
KmeansSMOTEBoostClassifier,0.9077,0.5867,0.9338,0.7175,0.7358,0.884,0.529,0.6958,0.7603
