Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9056,0.8762,0.9207,0.8955,0.8981,0.9689,0.93,0.8929,0.8984
BalanceCascadeClassifier,0.8972,0.8998,0.8959,0.888,0.8978,0.9642,0.9182,0.881,0.8978
UnderBaggingClassifier,0.899,0.9192,0.8886,0.8907,0.9038,0.9628,0.9154,0.8824,0.9039
EasyEnsembleClassifier,0.8882,0.9263,0.8686,0.8801,0.897,0.9576,0.9056,0.8709,0.8975
RUSBoostClassifier,0.8716,0.8372,0.8892,0.8572,0.8611,0.9389,0.8735,0.8537,0.8632
BalancedRandomForestClassifier,0.8972,0.9552,0.8674,0.8904,0.9102,0.9677,0.9262,0.8808,0.9113
AdaCostClassifier,0.8482,0.9947,0.773,0.8435,0.8768,0.9671,0.928,0.8445,0.8838
AdaUBoostClassifier,0.8994,0.9098,0.8941,0.8907,0.9019,0.9657,0.9274,0.883,0.9019
AsymBoostClassifier,0.9006,0.8886,0.9068,0.8909,0.8976,0.9654,0.9278,0.8855,0.8977
CatBoostClassifier,0.9062,0.8779,0.9207,0.8962,0.899,0.969,0.9354,0.8935,0.8993
SMOTEBoostClassifier,0.8984,0.8891,0.9032,0.8887,0.8961,0.9646,0.924,0.8828,0.8961
OverBaggingClassifier,0.8966,0.8508,0.9201,0.8849,0.8847,0.9634,0.9187,0.8844,0.8855
OverBoostClassifier,0.902,0.9104,0.8977,0.8934,0.904,0.9659,0.9259,0.8859,0.904
SMOTEBaggingClassifier,0.8976,0.8656,0.914,0.8867,0.8894,0.9629,0.916,0.884,0.8898
KmeansSMOTEBoostClassifier,0.9026,0.8891,0.9095,0.893,0.8993,0.9662,0.929,0.888,0.8993
