Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9711,0.8634,0.9743,0.8069,0.9171,0.9756,0.8058,0.7456,0.9188
BalanceCascadeClassifier,0.9675,0.8879,0.9698,0.7946,0.9278,0.9729,0.8078,0.7286,0.9288
UnderBaggingClassifier,0.8964,0.9164,0.8959,0.6385,0.906,0.964,0.6044,0.6005,0.9061
EasyEnsembleClassifier,0.9079,0.7768,0.9117,0.6366,0.8415,0.9256,0.3498,0.5983,0.8442
RUSBoostClassifier,0.8153,0.8093,0.8154,0.5577,0.8098,0.9066,0.3866,0.5629,0.8124
BalancedRandomForestClassifier,0.9131,0.9205,0.9129,0.6641,0.9167,0.9714,0.6483,0.6165,0.9167
AdaCostClassifier,0.9266,0.5873,0.9364,0.6375,0.7394,0.9074,0.2314,0.6026,0.7619
AdaUBoostClassifier,0.9486,0.8603,0.9512,0.7298,0.9046,0.9613,0.7014,0.6676,0.9058
AsymBoostClassifier,0.9788,0.7064,0.9867,0.8207,0.8347,0.9573,0.7054,0.7993,0.8465
CatBoostClassifier,0.9903,0.7298,0.9979,0.9024,0.8533,0.976,0.8461,0.951,0.8639
SMOTEBoostClassifier,0.9649,0.734,0.9716,0.7615,0.8443,0.9381,0.6051,0.7105,0.8528
OverBaggingClassifier,0.9758,0.5413,0.9884,0.7725,0.7311,0.9537,0.6302,0.7814,0.7648
OverBoostClassifier,0.9489,0.8563,0.9516,0.73,0.9027,0.9607,0.6936,0.668,0.9039
SMOTEBaggingClassifier,0.9788,0.5107,0.9924,0.7829,0.7116,0.9553,0.6283,0.8252,0.7516
