Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9773,0.9485,0.9917,0.9738,0.9691,0.9915,0.9746,0.9803,0.9701
BalanceCascadeClassifier,0.9716,0.95,0.983,0.9674,0.9652,0.9968,0.9932,0.9703,0.9665
UnderBaggingClassifier,0.9605,0.9333,0.9746,0.9551,0.9524,0.9913,0.9855,0.9597,0.954
EasyEnsembleClassifier,0.966,0.9333,0.9833,0.9606,0.9563,0.9942,0.9901,0.9684,0.9583
RUSBoostClassifier,0.9603,0.9318,0.9746,0.9548,0.9527,0.9957,0.9916,0.9568,0.9532
BalancedRandomForestClassifier,0.9887,0.9833,0.9917,0.9874,0.9873,1.0,1.0,0.9881,0.9875
AdaCostClassifier,0.9662,0.947,0.975,0.9614,0.9597,0.9964,0.9931,0.9662,0.961
AdaUBoostClassifier,0.9548,0.9136,0.975,0.9474,0.9414,0.9956,0.9921,0.9588,0.9443
AsymBoostClassifier,0.9548,0.9136,0.975,0.9474,0.9414,0.9956,0.9921,0.9588,0.9443
CatBoostClassifier,0.9773,0.9667,0.983,0.9744,0.9744,0.9979,0.996,0.9749,0.9748
SMOTEBoostClassifier,0.9662,0.947,0.975,0.9614,0.9597,0.9993,0.9987,0.9662,0.961
OverBaggingClassifier,0.966,0.9333,0.983,0.961,0.9567,0.9709,0.9551,0.9663,0.9582
OverBoostClassifier,0.9605,0.9303,0.975,0.9546,0.9508,0.9986,0.9976,0.9623,0.9527
SMOTEBaggingClassifier,0.9605,0.9333,0.9746,0.9551,0.9524,0.9737,0.96,0.9597,0.954
KmeansSMOTEBoostClassifier,0.9719,0.9652,0.975,0.9686,0.9695,0.9978,0.9959,0.9699,0.9701
