Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.914,0.5955,0.9264,0.6477,0.741,0.8671,0.3653,0.6117,0.761
BalanceCascadeClassifier,0.9232,0.5407,0.9381,0.6519,0.7097,0.8363,0.3598,0.6176,0.7394
UnderBaggingClassifier,0.8622,0.6995,0.8685,0.5998,0.7792,0.8628,0.2904,0.5794,0.784
EasyEnsembleClassifier,0.8405,0.7153,0.8454,0.5814,0.7768,0.8443,0.2875,0.5703,0.7804
RUSBoostClassifier,0.7079,0.5401,0.7143,0.4733,0.6161,0.6932,0.0971,0.5229,0.6272
BalancedRandomForestClassifier,0.8052,0.7865,0.8059,0.5607,0.7959,0.8645,0.3037,0.5633,0.7962
AdaCostClassifier,0.7952,0.6823,0.7996,0.543,0.7376,0.8085,0.2141,0.5526,0.7409
AdaUBoostClassifier,0.8644,0.6333,0.8734,0.5927,0.7431,0.8216,0.2948,0.5738,0.7534
AsymBoostClassifier,0.9445,0.3817,0.9663,0.6545,0.6027,0.823,0.2937,0.6406,0.674
CatBoostClassifier,0.9635,0.1039,0.9968,0.5776,0.3168,0.8581,0.3316,0.7621,0.5504
SMOTEBoostClassifier,0.8471,0.623,0.8558,0.5744,0.7298,0.8054,0.2483,0.5637,0.7394
OverBaggingClassifier,0.9663,0.1634,0.9975,0.6227,0.399,0.854,0.3826,0.8523,0.5804
OverBoostClassifier,0.8648,0.6278,0.874,0.5921,0.7399,0.812,0.2789,0.5733,0.7509
SMOTEBaggingClassifier,0.9657,0.2077,0.9951,0.6469,0.4535,0.8835,0.3772,0.8078,0.6014
