Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7251,0.6092,0.7777,0.6877,0.6878,0.7952,0.6139,0.6842,0.6934
BalanceCascadeClassifier,0.7487,0.6178,0.808,0.7105,0.7063,0.7894,0.6198,0.7091,0.7129
UnderBaggingClassifier,0.7305,0.6609,0.762,0.7001,0.7096,0.7982,0.626,0.6948,0.7114
EasyEnsembleClassifier,0.6826,0.7992,0.6298,0.6714,0.7091,0.7892,0.6019,0.6845,0.7145
RUSBoostClassifier,0.6496,0.7234,0.616,0.6346,0.666,0.7164,0.4852,0.6469,0.6697
BalancedRandomForestClassifier,0.7183,0.7387,0.7091,0.6982,0.7234,0.8066,0.6285,0.6961,0.7239
AdaCostClassifier,0.6853,0.8078,0.6298,0.6745,0.7128,0.7845,0.5827,0.6884,0.7188
AdaUBoostClassifier,0.692,0.7905,0.6474,0.6793,0.7153,0.784,0.5852,0.6881,0.7189
AsymBoostClassifier,0.7271,0.6802,0.7483,0.6994,0.7131,0.7834,0.5819,0.6942,0.7142
CatBoostClassifier,0.7473,0.4622,0.8766,0.6793,0.6353,0.8021,0.6263,0.7086,0.6694
SMOTEBoostClassifier,0.6954,0.7321,0.6787,0.677,0.7048,0.7739,0.5789,0.6783,0.7054
OverBaggingClassifier,0.7473,0.4947,0.8619,0.6869,0.6524,0.7931,0.6222,0.7049,0.6783
OverBoostClassifier,0.7008,0.7754,0.667,0.686,0.719,0.7813,0.5809,0.6906,0.7212
SMOTEBaggingClassifier,0.744,0.5056,0.8521,0.6855,0.6549,0.7899,0.615,0.7001,0.6789
KmeansSMOTEBoostClassifier,0.6718,0.5571,0.7238,0.633,0.6341,0.7303,0.4907,0.6308,0.6404
