Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9367,0.6091,0.9483,0.6792,0.7526,0.9316,0.3969,0.6401,0.7787
BalanceCascadeClassifier,0.9326,0.5891,0.9449,0.6704,0.7449,0.8929,0.4013,0.6312,0.767
UnderBaggingClassifier,0.8517,0.8436,0.852,0.5983,0.8441,0.9328,0.409,0.5808,0.8478
EasyEnsembleClassifier,0.8895,0.7655,0.8939,0.6329,0.8239,0.9205,0.3739,0.6004,0.8297
RUSBoostClassifier,0.8558,0.5691,0.866,0.5713,0.6868,0.8051,0.1662,0.5605,0.7176
BalancedRandomForestClassifier,0.8281,0.88,0.8262,0.5822,0.8501,0.9329,0.384,0.5747,0.8531
AdaCostClassifier,0.7197,0.98,0.7104,0.512,0.8342,0.921,0.2455,0.5533,0.8452
AdaUBoostClassifier,0.9117,0.5709,0.9239,0.6299,0.7241,0.8181,0.2985,0.5975,0.7474
AsymBoostClassifier,0.9549,0.4164,0.9742,0.6801,0.6263,0.8114,0.2884,0.6714,0.6953
CatBoostClassifier,0.969,0.2727,0.9937,0.6816,0.514,0.9374,0.4941,0.8126,0.6332
SMOTEBoostClassifier,0.9212,0.6873,0.9295,0.6651,0.7948,0.8486,0.3181,0.6223,0.8084
OverBaggingClassifier,0.969,0.1945,0.9965,0.6426,0.4293,0.9171,0.4519,0.881,0.5955
OverBoostClassifier,0.9171,0.6091,0.9281,0.6466,0.7501,0.8124,0.2938,0.6105,0.7686
SMOTEBaggingClassifier,0.967,0.2364,0.993,0.6582,0.4816,0.9132,0.4375,0.7819,0.6147
KmeansSMOTEBoostClassifier,0.9454,0.5345,0.9602,0.6825,0.7003,0.8251,0.333,0.6527,0.7474
