Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7282,0.2916,0.7628,0.4875,0.4691,0.58,0.0951,0.5102,0.5272
BalanceCascadeClassifier,0.7981,0.2305,0.8432,0.5148,0.4393,0.5555,0.0958,0.5187,0.5369
UnderBaggingClassifier,0.7878,0.2419,0.8312,0.5114,0.4475,0.5992,0.1002,0.5175,0.5365
EasyEnsembleClassifier,0.6868,0.421,0.7079,0.4858,0.5412,0.6048,0.1048,0.5208,0.5644
RUSBoostClassifier,0.6773,0.3365,0.7043,0.4664,0.4802,0.522,0.0913,0.5062,0.5204
BalancedRandomForestClassifier,0.5858,0.5171,0.5913,0.4403,0.5507,0.6015,0.1003,0.5152,0.5542
AdaCostClassifier,0.7307,0.3873,0.7579,0.5056,0.5338,0.6119,0.1027,0.5257,0.5726
AdaUBoostClassifier,0.7236,0.2181,0.7637,0.4702,0.3996,0.5338,0.0883,0.4966,0.4909
AsymBoostClassifier,0.8581,0.0614,0.9214,0.4906,0.2055,0.573,0.0952,0.49,0.4914
CatBoostClassifier,0.923,0.0114,0.9955,0.4905,0.0478,0.5513,0.0978,0.5301,0.5035
SMOTEBoostClassifier,0.7559,0.2633,0.795,0.4971,0.4532,0.559,0.0967,0.5118,0.5292
OverBaggingClassifier,0.9259,0.0,0.9996,0.4808,0.0,0.5906,0.1005,0.4632,0.4998
OverBoostClassifier,0.7526,0.2805,0.7901,0.4986,0.4666,0.5758,0.1079,0.514,0.5353
SMOTEBaggingClassifier,0.9259,0.0,0.9996,0.4808,0.0,0.5636,0.1071,0.4632,0.4998
