F1-macro,AUC,AUPR,Gmean
6.430898754564651210e-01,7.679640928536362043e-01,4.052741495550563622e-01,5.515278260650542386e-01
7.172795669590763534e-01,8.139268765925613547e-01,5.766809832729802299e-01,6.271742434545974909e-01
7.328281927220197112e-01,8.891495429787035221e-01,6.636140106775438863e-01,5.979897139614135382e-01
7.704427427541828965e-01,8.803527596605652539e-01,6.621932623039403776e-01,6.936507327069535433e-01
8.675964650008227697e-01,9.346190709960960907e-01,8.214699296806422524e-01,8.087861468079907690e-01
8.323387461583617863e-01,9.390139560979029465e-01,8.020356116016913450e-01,7.739642193245942492e-01
8.318235299423968332e-01,9.712812960235641668e-01,8.442437475280613057e-01,7.613145419823716953e-01
8.747839895436942959e-01,9.578371554807489918e-01,8.489840770484649024e-01,8.215158463361484920e-01
8.460349992512460338e-01,9.758772237417303597e-01,9.053089626422959890e-01,7.866090314396526617e-01
8.767085798306624156e-01,9.631928372723660425e-01,8.893874903524027209e-01,8.331542833851399710e-01
8.474397143472772731e-01,9.585291161137995397e-01,8.427087326158533287e-01,7.903956681534068940e-01
8.568380882825588074e-01,9.657011945671738484e-01,8.671226101605850056e-01,8.023880675914840666e-01
8.678160966469826709e-01,9.735944549641162293e-01,8.724668983726955318e-01,8.087376731594876356e-01
8.907555693277519060e-01,9.719779320662972344e-01,8.914886374184620710e-01,8.485613944819332399e-01
8.509340279272652463e-01,9.617411225658647478e-01,8.310237012619834385e-01,7.893417954709143203e-01
8.695336787594820649e-01,9.722046894359117619e-01,8.678581536175917766e-01,8.343775406375513182e-01
9.075679409292854993e-01,9.719872828856630509e-01,8.754290524290524456e-01,8.758631513281717185e-01
8.642019006271809412e-01,9.527386212216846229e-01,8.581587946831849001e-01,7.998590392573177166e-01
9.107968768710612562e-01,9.723227435304018229e-01,9.151853779748517770e-01,8.743961106078641521e-01
8.885451317414150285e-01,9.664936765084040093e-01,8.591695973689897903e-01,8.591056255807508757e-01
8.907995419603587095e-01,9.470626738667975442e-01,8.681341888386604477e-01,8.483478663970723810e-01
8.926090056341060563e-01,9.726652172896649295e-01,8.950789014811203481e-01,8.449228593785911290e-01
9.013139505900579218e-01,9.792715711714239379e-01,9.100184383517715414e-01,8.729068985422250293e-01
