F1-macro,AUC,AUPR,Gmean
7.335243773012642965e-01,8.767632138766160432e-01,5.729312427292343468e-01,6.681301995382783465e-01
8.485297921828454104e-01,9.611543586506767767e-01,8.200794432120191990e-01,8.047627767995779724e-01
7.768182440403645916e-01,9.456647263716483343e-01,7.285950913320700106e-01,7.319254068434130067e-01
8.156274156585932023e-01,9.554655539191621028e-01,7.905795951467518012e-01,7.905411938749149492e-01
8.480507653381931243e-01,9.616791733875681425e-01,8.118600535267201934e-01,8.284441926266941092e-01
8.628986616012115363e-01,9.636708979124296581e-01,8.428651985482893405e-01,8.621467250759590195e-01
8.184171366940464765e-01,9.390981134721929635e-01,7.652772000243265316e-01,7.346346336669483668e-01
8.802308298640658668e-01,9.388631741356336935e-01,8.209091877426569761e-01,8.693884194331390480e-01
9.077380057884983922e-01,9.646877995184327537e-01,8.736098454160308169e-01,8.985985862699855664e-01
9.010512022824425094e-01,9.682305912055543251e-01,8.836001670028597044e-01,8.847641984913201529e-01
9.054293905689801969e-01,9.710790845547840888e-01,8.654289561965000654e-01,8.956127745305201282e-01
9.027354620529914886e-01,9.732356172709634157e-01,8.645049998310868622e-01,9.089723417884668644e-01
8.860116018741240884e-01,9.836687939780723866e-01,9.078852301211567388e-01,8.848344928926248354e-01
9.209618615283494680e-01,9.765598335554152021e-01,9.231476984322511958e-01,8.896605016556151657e-01
8.936241140885726741e-01,9.753056549080113546e-01,8.874434739377269343e-01,8.738603757996961097e-01
8.979152311546172438e-01,9.675596699160763370e-01,8.680490849538469167e-01,8.597979200039949088e-01
9.142703126766548172e-01,9.721053369801528898e-01,8.998787751475922914e-01,8.866179303842599557e-01
9.074174491755035987e-01,9.717897468265658256e-01,9.105888441003472389e-01,8.986620487770045074e-01
9.141923777520878369e-01,9.695338616546275157e-01,8.810751688589665287e-01,8.868271063936672416e-01
8.901950635029557413e-01,9.795509268999695873e-01,8.926097316209957722e-01,8.847864986387208308e-01
8.911886994697771902e-01,9.790494892114921521e-01,9.004200107460977875e-01,8.725326306971498136e-01
9.096914847523398517e-01,9.776082941767771928e-01,8.982781081705812909e-01,8.969434681060333148e-01
8.992292718123102713e-01,9.789933842952989185e-01,8.829406104658066301e-01,8.949248970060867947e-01
