F1-macro,AUC,AUPR,Gmean
7.135524069718806039e-01,9.757182598125160311e-01,8.659137351760772816e-01,5.463490357121434382e-01
8.304476539652420053e-01,9.741987516656147594e-01,8.735443893338631360e-01,7.274193140851989980e-01
8.177328247287707352e-01,9.807560137457045357e-01,8.777050264550266823e-01,7.213507265877537877e-01
8.918706480261102687e-01,9.805292563760898972e-01,9.250695491871964160e-01,8.255430124754031818e-01
8.642078534106525378e-01,9.805269186712486373e-01,8.701573917965722549e-01,8.077015822360478214e-01
8.741317186773187586e-01,9.828178694158076212e-01,9.066825832428669907e-01,8.109876177904830064e-01
8.679123907677208649e-01,9.798396334478809422e-01,9.127667548500882910e-01,7.861259334751694583e-01
8.894249262541503720e-01,9.873997709049255889e-01,9.343899310565978444e-01,8.228266172896242514e-01
8.983202008121040638e-01,9.883161512027491824e-01,9.176785714285713436e-01,8.466753581036332577e-01
9.265857084731589088e-01,9.873997709049255889e-01,9.177336512119123046e-01,8.906264817420534996e-01
8.785833388885473383e-01,9.814573251981204560e-01,8.922180203789400466e-01,8.116885089753358429e-01
8.754173089253924900e-01,9.791593613390373596e-01,8.910569811294448694e-01,8.229700791617885480e-01
9.035098572814522777e-01,9.798396334478809422e-01,9.230701977760803478e-01,8.520172172010447298e-01
8.952364782314772285e-01,9.901489117983963695e-01,9.383710117043451149e-01,8.334952573873042336e-01
9.073243022789796441e-01,9.832760595647194179e-01,9.159586677130537868e-01,8.512093218445496712e-01
8.899894491181870038e-01,9.878602987586788675e-01,9.137347488796765393e-01,8.380891828847844005e-01
9.073243022789796441e-01,9.828178694158076212e-01,9.053775853775853921e-01,8.512093218445496712e-01
8.817212763678344833e-01,9.800687285223368406e-01,9.152380952380951840e-01,8.098786781249435185e-01
9.116103840989733254e-01,9.894616265750286743e-01,9.252062358671555575e-01,8.653337056611286604e-01
9.050991381365222077e-01,9.837342497136312147e-01,9.164036440113993987e-01,8.635704851542872484e-01
9.163930902310163384e-01,9.855670103092784018e-01,9.230510486201545239e-01,8.654374395301088763e-01
9.108751165440794884e-01,9.853379152348225034e-01,9.208365225756530714e-01,8.645935097659427360e-01
9.122534857611821479e-01,9.837342497136312147e-01,9.232249406939810887e-01,8.757974111916790871e-01
