F1-macro,AUC,AUPR,Gmean
7.075479518848838412e-01,8.096266685368306293e-01,5.549153329830650572e-01,7.483265041715944088e-01
6.449482987625450026e-01,8.882413446478247820e-01,5.202961290306883368e-01,7.572274013483901722e-01
8.314581324320344802e-01,9.273862122168454736e-01,7.819297303695421641e-01,8.682863709092838445e-01
8.648719600546226349e-01,9.681639666175749781e-01,8.654585652647668326e-01,8.872436703493159493e-01
8.337405427708167727e-01,9.665626388012249492e-01,8.145511502397047021e-01,8.376430718871554770e-01
9.128150548952685961e-01,9.615330668349812981e-01,8.524469147779845102e-01,8.997865762959567082e-01
9.035987250264130299e-01,9.722970287771465214e-01,9.122934848297168386e-01,8.986616498939932196e-01
8.728852781175330255e-01,9.776632302405499075e-01,8.992629791554523910e-01,8.199757358809687258e-01
9.012658301152894902e-01,9.721649484536083463e-01,9.034724484061241734e-01,8.829865294573053802e-01
8.796210150231704716e-01,9.756142319470744173e-01,8.738576504381103671e-01,8.595599473350941100e-01
8.938156386645388363e-01,9.714776632302404291e-01,8.912591381840208049e-01,8.840366127902832272e-01
8.772485666340166244e-01,9.813310891366855415e-01,8.876918107310263206e-01,8.699657181205733281e-01
8.851548176268011492e-01,9.870584659980830011e-01,9.236551411551412460e-01,8.558802146225021890e-01
8.922901309356472410e-01,9.764102204455664680e-01,8.756804780857964099e-01,8.727650928005081798e-01
9.129194057330897172e-01,9.753722794959909237e-01,9.315521271181648189e-01,8.988711615887877704e-01
8.998396918905019470e-01,9.792680646141617151e-01,9.146922563589232613e-01,8.858985987624544700e-01
9.501352282916867287e-01,9.819014891179840276e-01,9.325363724288455725e-01,9.392083250525985472e-01
8.934490152550310649e-01,9.817892792855975603e-01,9.214967406177452247e-01,8.597915521964611951e-01
9.249355843315386627e-01,9.778934941674263248e-01,9.064510181176850256e-01,9.128631514420414428e-01
9.274255348260724841e-01,9.793814432989689234e-01,9.346840751147867943e-01,9.240572039228440726e-01
9.178108197885904707e-01,9.772050400916378887e-01,9.059756486680077270e-01,9.000021183056530205e-01
9.118345923248755147e-01,9.741122565864832605e-01,9.200194069706265632e-01,8.988627384211520521e-01
9.328655188997979630e-01,9.827033218785796720e-01,9.339197839197840301e-01,9.252117199024484373e-01
