F1-macro,AUC,AUPR,Gmean
5.966401336137899802e-01,7.497100172554717057e-01,2.226074855338189828e-01,4.022832622907938638e-01
5.991400267050844830e-01,7.659061825092866593e-01,2.213541195911826465e-01,4.396629646070738251e-01
5.917489851709497595e-01,7.696475431442171278e-01,2.474653187626758566e-01,3.401771007229265620e-01
6.049489076793139741e-01,7.780930510730954541e-01,2.488184337811942259e-01,4.047888078987921245e-01
6.290997168421051944e-01,7.613250230922069539e-01,2.575789090738647702e-01,4.889257366330192478e-01
6.190159639568245664e-01,7.450416102744261693e-01,2.380867148902251207e-01,4.634561091842317460e-01
6.232667858135522154e-01,7.572858183944659594e-01,2.560411202666031949e-01,4.782790179732334113e-01
6.314066537840702376e-01,7.639144004554202505e-01,2.640058357382795151e-01,5.048440896610889572e-01
6.194167079085433070e-01,7.400379886189198952e-01,2.337864337146520477e-01,4.874223397353268372e-01
6.209637035214863321e-01,7.566197793337484656e-01,2.399040546407574803e-01,4.889918882330633321e-01
6.372481587897844690e-01,7.814866929079790081e-01,2.513293773293516220e-01,5.242176023941653717e-01
6.455184479515656548e-01,7.659913766942590962e-01,2.712447919533814145e-01,5.679774416996372643e-01
6.293602262796068603e-01,7.760731663015474346e-01,2.787084490183777685e-01,5.287663890443847770e-01
6.363688126133250078e-01,7.609267384500201237e-01,2.607409392942368065e-01,5.400094065417357925e-01
6.369857966595395826e-01,7.602291367169415892e-01,2.837034339671412053e-01,5.444628459625552308e-01
6.477500066455905703e-01,7.786283251116954407e-01,3.095777845034877740e-01,5.723625590921763706e-01
6.487794290370011430e-01,7.742156778919526694e-01,3.201439330548889739e-01,5.690545565089984992e-01
6.429473774568689182e-01,8.046548462623849263e-01,3.020168735337778743e-01,5.546093380470156209e-01
6.395656586333684501e-01,7.754461658075849639e-01,2.946647997844270006e-01,5.623637608920915021e-01
6.656382949662221771e-01,7.903840837654584339e-01,3.282352904441783736e-01,5.935771254650425988e-01
6.411372711697402860e-01,7.820038143674508113e-01,2.953590362980852979e-01,5.607761932440243902e-01
6.424701524275368003e-01,7.867329056752558891e-01,2.937439215053248009e-01,5.705044161675733028e-01
6.483468955262472466e-01,7.941687071243613838e-01,3.091180508995893805e-01,5.818131783379815181e-01
