F1-macro,AUC,AUPR,Gmean
5.652299404089372592e-01,8.019507809263908271e-01,1.984915206020842204e-01,6.536257351616713285e-01
5.800715591176800467e-01,8.345047679593136092e-01,2.238917720947939116e-01,7.077755849270903621e-01
5.670312583615708668e-01,7.961444963019242982e-01,1.935389396907199744e-01,6.648358214495786456e-01
5.989807389861767639e-01,8.456424816868276517e-01,2.893067533749469344e-01,6.968636790993124608e-01
6.230711769301648939e-01,8.504436893483454663e-01,3.086717077195745840e-01,7.358531167921508187e-01
6.249586062001877274e-01,8.412861462262790635e-01,3.043513058733908205e-01,7.178478412668343189e-01
6.333957016721856181e-01,8.509115939492879477e-01,3.201625251552928653e-01,7.549116114117896403e-01
6.240375892578333694e-01,8.596137808975946593e-01,3.011945276150563289e-01,7.138318591244303679e-01
6.273911988552760555e-01,8.734928884862366294e-01,2.842101879887326543e-01,7.291543502261857990e-01
6.405593983630529786e-01,8.764747381221883460e-01,3.152916593364578079e-01,7.469241560025953186e-01
6.415780511645742257e-01,8.628125577305177929e-01,3.207216909064797283e-01,7.167984598544261399e-01
6.473191713561025074e-01,8.753412906384082648e-01,3.356194142424240301e-01,7.421115314952659858e-01
6.536469957901732686e-01,8.757577389351226538e-01,3.345588973841137070e-01,7.378725354942493597e-01
6.493749849636241134e-01,8.873982558461496195e-01,3.450087080085896818e-01,7.382188824162703167e-01
6.530818864946782432e-01,8.937408511665719812e-01,3.519631495700235591e-01,7.470885468314431010e-01
6.518318883552985943e-01,8.866297228270620945e-01,3.612646012415766106e-01,7.353104830463519370e-01
6.547724112863545498e-01,8.983759654979168729e-01,3.388531355923504185e-01,7.327736058215365000e-01
6.634297933993132945e-01,8.969055423512185543e-01,3.408987808063398961e-01,7.476523063371551814e-01
6.692352065715012621e-01,8.966942746831879640e-01,3.678377048305446761e-01,7.666002549880350792e-01
6.621760992637004684e-01,9.096342238692569637e-01,3.539941366141948764e-01,7.545129106009405007e-01
6.746787496613252388e-01,9.007187402398042497e-01,3.552821397736943276e-01,7.425112441352359482e-01
6.554811793875531256e-01,8.924636582929266204e-01,3.579723105700267083e-01,7.254127803653347417e-01
6.661897227444949499e-01,8.956072486272046440e-01,3.634889043194767244e-01,7.426663871377671144e-01
