F1-macro,AUC,AUPR,Gmean
5.685819882063714026e-01,8.573636075675986623e-01,3.102796859388834427e-01,2.589913977359741826e-01
5.458166304908304012e-01,8.785840722470433795e-01,3.220562756160687545e-01,1.743004639296571456e-01
5.695726182701512652e-01,8.798354461503020696e-01,3.335939152355495985e-01,2.675047318952858966e-01
5.955069586602997900e-01,8.974632507182398466e-01,3.897448520387332138e-01,3.227660686597279005e-01
5.959908126379710458e-01,9.067654784240147814e-01,3.636447006385368219e-01,3.178820452732681323e-01
6.038883428928026875e-01,9.130204163907045256e-01,4.023161287715462664e-01,3.490483059366902285e-01
5.989667637102641384e-01,9.107155416645439372e-01,3.809642902586265478e-01,3.320372844286634817e-01
6.080206014194223796e-01,9.265097297381114094e-01,4.089536160051416847e-01,3.359722724564989105e-01
6.160402917785018362e-01,9.192103860662621528e-01,3.787936614206798835e-01,3.849006643238503944e-01
6.262961027724063268e-01,9.313540295624549437e-01,4.130141713953744409e-01,3.940935000253075748e-01
6.315074604566915939e-01,9.183092207127683260e-01,3.984980991100123271e-01,4.287989097099140223e-01
6.488145855822314845e-01,9.193330483263963959e-01,4.211617434978481289e-01,4.452923460452260507e-01
6.289356290083965018e-01,9.225075678202065976e-01,4.233280451090856156e-01,3.979549609160745183e-01
6.324418137296108355e-01,9.321075022538437560e-01,4.338411806917422120e-01,4.055013039049801260e-01
6.242851263498450098e-01,9.228183966809244687e-01,4.096341702973959609e-01,3.996913404433563022e-01
6.644662201720348271e-01,9.302089041778620615e-01,4.395984099118177002e-01,4.909271447320597281e-01
6.549072722505439037e-01,9.315216225016669238e-01,4.698248191640423954e-01,4.669979940194237678e-01
6.489439990778358425e-01,9.278805008738492122e-01,4.284515683135560193e-01,4.550553754983110988e-01
6.408462136665075137e-01,9.293074375735130843e-01,4.328153046478677712e-01,4.216423606208878905e-01
6.595814623149184319e-01,9.272967210173418406e-01,4.345546926288728629e-01,4.754105026376530541e-01
6.494214068264753115e-01,9.310733523682525048e-01,4.398827420007624944e-01,4.438403434440524320e-01
6.542777800201649008e-01,9.327206097671728591e-01,4.426294595990739045e-01,4.557721110967453693e-01
6.609474495715521591e-01,9.311934672865934681e-01,4.484257704947868239e-01,4.664263910749093522e-01
