F1-macro,AUC,AUPR,Gmean
5.995365206026125326e-01,8.623908441890704157e-01,2.765429431163183294e-01,7.208614902521316425e-01
6.247880982512675763e-01,8.809502493072338680e-01,3.063560375836854033e-01,7.659335747071827072e-01
6.145915659092283656e-01,8.591212734050870381e-01,3.054505089823651987e-01,7.259707006729111400e-01
6.410121751239149512e-01,8.756049360838715767e-01,3.370768395573592313e-01,7.686854583122635365e-01
6.157364057402717750e-01,8.749045499954590799e-01,3.085536089447364905e-01,7.124217960566270325e-01
6.368549018340976531e-01,8.881727341394746178e-01,3.267093386606022554e-01,7.438704763340270310e-01
6.245103795094288923e-01,9.009684683387567672e-01,3.388843609950987212e-01,7.425112650208720577e-01
6.487104640987679804e-01,9.032915576662804424e-01,3.279751304336963602e-01,7.582504872278849062e-01
6.524093650315856419e-01,9.075250292944305741e-01,3.559489321278554996e-01,7.616138282216069477e-01
6.454706629072444191e-01,8.970347612476214927e-01,3.805667692704014504e-01,7.281952873171330110e-01
6.622410593566843140e-01,9.043232532434304360e-01,3.768549279979713229e-01,7.595512499564879283e-01
6.667062514585080368e-01,9.194413679446938881e-01,3.720367552020076296e-01,7.480275697306089100e-01
6.597744523224865487e-01,9.148163698828888357e-01,3.871049602264611811e-01,7.272289673224285877e-01
6.564676136950809981e-01,9.082634438732000159e-01,3.756967113807325176e-01,7.363444309645934549e-01
6.616835863842372989e-01,9.164280198736960426e-01,3.933628509228080383e-01,7.489281018788946920e-01
6.607432853426667974e-01,9.184790287318004287e-01,4.010311234825630899e-01,7.610570222381185523e-01
6.680842670897587654e-01,9.226209976276494862e-01,3.893311652992344496e-01,7.373579957482544467e-01
6.697063113934728085e-01,9.194021100850368056e-01,3.945620032082963191e-01,7.492434472643073606e-01
6.763167645923989779e-01,9.195502701289839376e-01,3.861135280095399636e-01,7.374441339195975109e-01
6.723153098463596766e-01,9.264322373856741510e-01,3.965799268286371304e-01,7.438263437544404555e-01
6.759100365191703652e-01,9.303087799118842094e-01,4.016679980422215857e-01,7.601884074924705192e-01
6.739504165445374673e-01,9.262122578087101932e-01,4.020369061581458570e-01,7.535655521522496292e-01
6.713263974129687339e-01,9.273348957029667883e-01,4.067643961023156840e-01,7.285789754395082252e-01
