F1-macro,AUC,AUPR,Gmean
5.550200949703144593e-01,8.909885458222486232e-01,3.327253824089299039e-01,2.588643816427966260e-01
5.468503591676832087e-01,8.924753295485002846e-01,2.453551611781946973e-01,2.356893990443910680e-01
6.639921208963208699e-01,9.015336548152511620e-01,3.632008411725936581e-01,5.950531486920371815e-01
6.586170999163019069e-01,8.954560184826260150e-01,3.819087992785704100e-01,5.623718332303809797e-01
6.146566209814949833e-01,9.063451072209387505e-01,3.403003819780279771e-01,4.320064844106487056e-01
6.982784596005604527e-01,8.869923535444600438e-01,3.923077942278857533e-01,6.140908019149502461e-01
6.187143190560817629e-01,9.245335041898234962e-01,3.904998855715005601e-01,4.105351319323828352e-01
6.621683758160319400e-01,9.206635271602012782e-01,3.837628588037623745e-01,6.313818910388910854e-01
6.649527650549452717e-01,9.159063885117101345e-01,3.553005098622238345e-01,5.605794402699361134e-01
7.008050751622724173e-01,9.403269679322894259e-01,4.419208607042379167e-01,6.317686085910702021e-01
6.886697272598837349e-01,9.269703799526414212e-01,3.889838839147521377e-01,5.865469584428847361e-01
6.522038611344822545e-01,9.194440703420747596e-01,4.000480464531830371e-01,5.728552415584426960e-01
6.723906185870195396e-01,9.117219033737880007e-01,3.982838961291545465e-01,5.757015398945183327e-01
7.180720586755157120e-01,9.317607558738381091e-01,4.787795474115839056e-01,6.612532466641189988e-01
6.805912972281279449e-01,9.063780122316706933e-01,4.113185907571899058e-01,6.016841695853988314e-01
6.589404120316307845e-01,9.328102717681432399e-01,4.433761607474841493e-01,5.466076449403280968e-01
7.048962618088658871e-01,9.272159326261320000e-01,4.327366781740072388e-01,6.873282352043086352e-01
6.791037543365219253e-01,9.332539079545731919e-01,4.212760046266376124e-01,6.167649299766434501e-01
7.222185314954641111e-01,9.400388968016463176e-01,4.503318413816389532e-01,6.887199164964901144e-01
6.977254480707649753e-01,9.381307162903615993e-01,4.244015671734774342e-01,6.318500924208979574e-01
7.060813669766703438e-01,9.294697431171933255e-01,4.303615508151724112e-01,6.742517332663867657e-01
7.017462932676827858e-01,9.353408454073643963e-01,4.479476373466475536e-01,6.620632232573099296e-01
7.046015468975144191e-01,9.394329838675737898e-01,4.511387752696315312e-01,6.624875034254759099e-01
